parcel,estimate,se,df,statistic,p.value,term,p.fdr,hemi,num.roi
RH_Vis_17,0.003351518518518,0.0606385959727399,377.000001325248,0.0552703845587828,0.955952334213914,hiloRN,0.984639742135519,R,217
RH_Vis_18,-0.0157726851851851,0.0371459065542813,377.000001746939,-0.424614355881622,0.67136004389358,hiloRN,0.872257947794747,R,218
RH_Vis_19,0.114419532407408,0.0567478166835452,377.000155305421,2.01628078566387,0.0444793863501187,hiloRN,0.259089502035846,R,219
RH_Vis_20,0.0657016388888893,0.0515331966473478,377.000000209258,1.27493815954207,0.203116298996932,hiloRN,0.612522891722597,R,220
RH_Vis_21,0.0137552777777776,0.0405846144655482,377.000000225867,0.338928383549247,0.734852380587769,hiloRN,0.89343754478756,R,221
RH_Vis_22,-0.0525363148148147,0.0292430575609306,377.000000208418,-1.79653973273316,0.0732091205309424,hiloRN,0.338842222457218,R,222
RH_Vis_23,0.00181584259259294,0.0358763465706251,377.000059652752,0.0506139215992444,0.959659974394236,hiloRN,0.984639742135519,R,223
RH_Vis_24,0.0164140833333332,0.0422851000679874,377.000000205909,0.388176528066437,0.698104500530295,hiloRN,0.887757754392346,R,224
RH_Vis_25,0.0436503055555556,0.0379636984390688,377.00000129364,1.14979065134061,0.250958963143376,hiloRN,0.682881532362928,R,225
RH_Vis_26,-0.0391567083333329,0.0355722748033593,377.000002521631,-1.1007648105101,0.2717013564072,hiloRN,0.689749307168543,R,226
RH_Vis_27,-0.027320476851852,0.0312737676997651,377.000058715709,-0.873590835429056,0.382897227814336,hiloRN,0.760536982102159,R,227
RH_Vis_28,0.00402312962962965,0.0394619014843509,377.000058188729,0.101949715505348,0.918850789930606,hiloRN,0.973943523559439,R,228
RH_Vis_29,-0.00782508333333314,0.0359888350316782,377.000001695899,-0.217430859499768,0.827990210645834,hiloRN,0.930326079377341,R,229
RH_Vis_30,-0.053788550925926,0.0352171848168937,377.000157862118,-1.52733817894847,0.127515459975168,hiloRN,0.453186418465082,R,230
RH_SomMot_1,-0.0280854768518521,0.0316117371778677,377.000000146736,-0.888450915994439,0.374864745152655,hiloRN,0.760536982102159,R,231
RH_SomMot_2,-0.0120813842592593,0.0317440732008469,377.000002472796,-0.380587084172205,0.703724017216179,hiloRN,0.887757754392346,R,232
RH_SomMot_3,-0.0161559398148147,0.0420327006669625,377.000000214152,-0.384365971219003,0.700923929888467,hiloRN,0.887757754392346,R,233
RH_SomMot_4,-0.0178508657407403,0.0369966791217263,377.000071061171,-0.482499136801103,0.629731439043946,hiloRN,0.872257947794747,R,234
RH_SomMot_5,-0.0785437222222223,0.0368989427631039,377.000002504604,-2.12861714565871,0.0339338184187818,hiloRN,0.222516842090372,R,235
RH_SomMot_6,-0.00123917592592593,0.0391919854735283,377.000000243338,-0.0316180951527173,0.974793344714164,hiloRN,0.984639742135519,R,236
RH_SomMot_7,-0.0596278055555552,0.0359660518773225,377.000000204976,-1.65789132927187,0.0981711996600255,hiloRN,0.404829689319693,R,237
RH_SomMot_8,-0.0354430601851849,0.0367634691513843,377.000000209841,-0.964083667926925,0.335621966028996,hiloRN,0.755548808231677,R,238
RH_SomMot_9,-0.0396577962962962,0.0513447649590937,377.000000708743,-0.772382468356636,0.440371861328742,hiloRN,0.786378323801325,R,239
RH_SomMot_10,-0.00644393981481484,0.0462161325008872,377.000000209698,-0.139430529257097,0.889184403567031,hiloRN,0.953565624973472,R,240
RH_SomMot_11,-0.0355084351851849,0.0424460673879262,377.000019336457,-0.836554182055633,0.403373141100114,hiloRN,0.764688419147135,R,241
RH_SomMot_12,-0.0748190925925923,0.0396612111886856,377.00001963783,-1.886455061512,0.060001957842409,hiloRN,0.306120474823177,R,242
RH_SomMot_13,-0.044997925925926,0.04773597339835,377.000112312352,-0.942641842671242,0.346467788625582,hiloRN,0.757306641804551,R,243
RH_SomMot_14,-0.0664742777777777,0.040585418865441,377.000000203863,-1.63788571452644,0.10227985895434,hiloRN,0.411586878145149,R,244
RH_SomMot_15,-0.0379629861111111,0.03606986314893,377.00007512944,-1.05248489450499,0.293251248659483,hiloRN,0.702398200381995,R,245
RH_SomMot_16,-0.0340870694444446,0.0563533275840425,377.000000403134,-0.604881218302662,0.545621816463482,hiloRN,0.85253408822419,R,246
RH_SomMot_17,-0.0723075277777778,0.0305981101922778,377.000019091682,-2.36313704746466,0.0186278161987684,hiloRN,0.149022529590148,R,247
RH_SomMot_18,0.00292528703703663,0.0613654722085123,377.000000355457,0.0476699181438199,0.962004551085723,hiloRN,0.984639742135519,R,248
RH_SomMot_19,-0.0629882175925926,0.0399262733898733,377.000000208663,-1.5776132417249,0.115493175160088,hiloRN,0.431808174469826,R,249
RH_SomMot_20,-0.0377895925925926,0.0362206865938519,377.000001794986,-1.04331519212579,0.297470878084226,hiloRN,0.703268828057857,R,250
RH_SomMot_21,-0.0206922824074073,0.0383605320970125,377.000000087167,-0.539415938107355,0.589918313073079,hiloRN,0.872257947794747,R,251
RH_SomMot_22,-0.0132919537037038,0.0379018736721116,377.000000200068,-0.350693842174988,0.726013919353421,hiloRN,0.891634623175973,R,252
RH_SomMot_23,-0.0714828518518518,0.0477539470086659,377.00003241303,-1.49689934193041,0.135256163526251,hiloRN,0.468258153525494,R,253
RH_SomMot_24,0.0099690879629629,0.0373448359029541,377.000000306733,0.26694689431409,0.789656009324349,hiloRN,0.910266293169278,R,254
RH_SomMot_25,-0.0443325138888889,0.0484833574316782,377.000001314561,-0.914386219051793,0.361098377775457,hiloRN,0.759788343445901,R,255
RH_SomMot_26,-0.060951949074074,0.0363878612932491,377.000118462898,-1.67506269694895,0.0947511414439844,hiloRN,0.398952174500987,R,256
RH_SomMot_27,-0.0547228240740741,0.0358769912269019,377.000000206858,-1.52529022648479,0.128025163216386,hiloRN,0.453186418465082,R,257
RH_SomMot_28,-0.0771226342592593,0.0324491006225051,377.00000019724,-2.37672640473033,0.017965559145054,hiloRN,0.147011509272355,R,258
