parcel,estimate,se,df,statistic,p.value,term,p.fdr,hemi,num.roi
LH_DorsAttn_FEF_3,0.0503179706790125,0.0105978625022707,1241.00000035949,4.74793579065887,2.29399572608805e-06,hiloInCon,8.99606167093354e-06,L,88
LH_DorsAttn_FEF_4,0.0176816373456791,0.00770314415170696,1241.00000366132,2.29537926299367,0.021877566116155,hiloInCon,0.0448770586998051,L,89
LH_DorsAttn_PrCv_1,0.0996346805555538,0.0109979285882692,1241.00000017332,9.05940421015536,4.96827264367955e-19,hiloInCon,1.1690053279246e-17,L,90
LH_DorsAttn_PrCv_2,0.0895850740740744,0.012306095022925,1241.00000119485,7.27973202768111,5.91979100195067e-13,hiloInCon,7.5469315342473e-12,L,91
LH_SalVentAttn_ParOper_1,0.00633638734567919,0.012252102361796,1241.00000182525,0.517167352881171,0.605131499466881,hiloInCon,0.709061688175622,L,92
LH_SalVentAttn_ParOper_2,0.0872577716049396,0.01150050872192,1241.00000162446,7.58729667659189,6.38439791882154e-14,hiloInCon,9.12056845545935e-13,L,93
LH_SalVentAttn_ParOper_3,-0.000903189814814427,0.0101294643351264,1241.00000131156,-0.0891646176868798,0.928965471313092,hiloInCon,0.943112153617352,L,94
LH_SalVentAttn_ParOper_4,0.0272171404320996,0.0113900431399087,1241.00002197783,2.38955551772544,0.0170173294887718,hiloInCon,0.0354527697682746,L,95
LH_SalVentAttn_TempOcc_1,0.0391879691358022,0.0101041927012848,1241.0000015921,3.87838695226181,0.000110665258971071,hiloInCon,0.000343148089832777,L,96
LH_SalVentAttn_FrOperIns_1,0.00800780864197523,0.0112751384132601,1240.97997101062,0.710218211827688,0.477702265624273,hiloInCon,0.589755883486756,L,97
LH_SalVentAttn_FrOperIns_2,0.0215783009259256,0.00899794704609059,1241.00000131238,2.39813602096057,0.01662570156453,hiloInCon,0.0348182231717906,L,98
LH_SalVentAttn_FrOperIns_3,0.132365435185185,0.0122540917816997,1241.00005268829,10.8017336203455,4.67012822833227e-26,hiloInCon,4.67012822833227e-24,L,99
LH_SalVentAttn_FrOperIns_4,0.00855431327160536,0.00946689582386452,1241.00000422429,0.903602768083843,0.366381436491973,hiloInCon,0.480500244579636,L,100
LH_SalVentAttn_FrOperIns_5,0.126324572530865,0.0137036856425831,1241.00007395235,9.21829176658301,1.25444309750373e-19,hiloInCon,3.34518159334328e-18,L,101
LH_SalVentAttn_FrOperIns_6,0.00770331172839503,0.0115875002860843,1241.0000017047,0.664794954753623,0.50630516351322,hiloInCon,0.619333533349504,L,102
LH_SalVentAttn_FrOperIns_7,0.0937345185185183,0.0111723277789822,1241.00007913406,8.38988260753101,1.30876238435693e-16,hiloInCon,2.27610849453379e-15,L,103
LH_SalVentAttn_FrOperIns_8,0.00471384413580266,0.0113368910975198,1241.00000155759,0.415796896631911,0.677630517421532,hiloInCon,0.768487125980965,L,104
LH_SalVentAttn_FrOperIns_9,0.091356949074074,0.0106602305280557,1241.00000153714,8.56988494138467,3.03243246464089e-17,hiloInCon,5.77606183741122e-16,L,105
LH_SalVentAttn_PFCl_1,0.0102784120370371,0.0100979548896805,1241.00000180995,1.01787066285481,0.308937817752025,hiloInCon,0.416077869026296,L,106
LH_SalVentAttn_Med_1,0.0638986512345691,0.00989881029570541,1241.00007427621,6.45518494907327,1.54690661870256e-10,hiloInCon,1.37502810551339e-09,L,107
LH_SalVentAttn_Med_2,0.0191696589506171,0.0097455899271386,1241.00000058691,1.96700857453844,0.0494047248685441,hiloInCon,0.0934116687740199,L,108
LH_SalVentAttn_Med_3,0.0214338780864195,0.00863480127065936,1241.00000149137,2.48226651831014,0.0131864215190193,hiloInCon,0.0282996837769422,L,109
LH_SalVentAttn_Med_4,0.0784765756172829,0.012074723876883,1241.00009641774,6.49924390962894,1.16639915374345e-10,hiloInCon,1.08502246859856e-09,L,110
LH_SalVentAttn_Med_5,0.0173541759259259,0.00972827182006966,1241.00000050276,1.78389093632476,0.0746856710727283,hiloInCon,0.130120761131308,L,111
LH_SalVentAttn_Med_6,-0.0015646419753087,0.00868237328553226,1241.00002171468,-0.180209019337595,0.857017899643631,hiloInCon,0.89068230596542,L,112
LH_SalVentAttn_Med_7,0.0423819320987661,0.00907427207316221,1241.00000159338,4.67055999170596,3.33074486155847e-06,hiloInCon,1.29349315011979e-05,L,113
LH_Limbic_OFC_1,0.0341872222222223,0.0185898104481256,1241.0000016844,1.83903016750068,0.0661495450050284,hiloInCon,0.11918836937843,L,114
LH_Limbic_OFC_2,0.0193047530864198,0.0121977774421836,1241.00000394506,1.58264513169901,0.113757169050791,hiloInCon,0.184222136114642,L,115
LH_Limbic_OFC_3,0.030164237654321,0.0248063333421135,1241.00000024431,1.21598937006588,0.224220217895577,hiloInCon,0.322619018554787,L,116
LH_Limbic_OFC_4,0.0120178395061728,0.0167090799686051,1241.00002120748,0.719240049646857,0.472128438546671,hiloInCon,0.584679180862751,L,117
LH_Limbic_OFC_5,0.0479330262345679,0.0180157320805801,1241.00000269413,2.660620507686,0.00790025712477916,hiloInCon,0.0183726909878585,L,118
LH_Limbic_TempPole_1,-0.0135889660493826,0.028799160878354,1241.00014492781,-0.471852846920838,0.637114776714078,hiloInCon,0.738683799088786,L,119
LH_Limbic_TempPole_2,-0.0132374120370369,0.0148179760311244,1241.00017017153,-0.893334690866849,0.371851166132573,hiloInCon,0.486079955728854,L,120
LH_Limbic_TempPole_3,0.0145482114197527,0.0226688175922821,1241.00000039825,0.641771956588765,0.521139778704444,hiloInCon,0.631684580247811,L,121
LH_Limbic_TempPole_4,0.0205526404320988,0.0226610060290309,1241.00007475129,0.906960635629722,0.364603682239423,hiloInCon,0.479741687157135,L,122
LH_Limbic_TempPole_5,0.0103802746913581,0.0127389282363197,1241.00013759202,0.814846782931325,0.415316360270242,hiloInCon,0.532456872141336,L,123
LH_Limbic_TempPole_6,-0.00620133333333336,0.00995842059497212,1241.00007420978,-0.622722576757235,0.5335812521728,hiloInCon,0.644811180873475,L,124
LH_Limbic_TempPole_7,-0.0132741188271603,0.0107129579029377,1241.00002111397,-1.23907131414381,0.21555337936746,hiloInCon,0.312396201981825,L,125
LH_Limbic_TempPole_8,0.0127925648148148,0.0165565885568054,1241.00002113846,0.772657046524034,0.4398725002976,hiloInCon,0.55156426369605,L,126
LH_Cont_Par_1,0.117711328703703,0.0117685126260425,1241.0000014373,10.002226487247,1.05013470660076e-22,hiloInCon,3.81867166036641e-21,L,127
LH_Cont_Par_2,0.0635938410493827,0.0106419594657704,1241.00000058742,5.97576426164096,2.98827355203999e-09,hiloInCon,2.21353596447406e-08,L,128
