subj,parcel,term,beta
DMCC9850294,LH_Vis_5,hihi,-0.0295220190263887
DMCC9953810,LH_Vis_5,hihi,0.12263577849182
102008,LH_Vis_6,hihi,-0.0371793375198873
107321,LH_Vis_6,hihi,0.0426133311794853
115825,LH_Vis_6,hihi,0.00851557200370844
123117,LH_Vis_6,hihi,-0.0975257067516937
130114,LH_Vis_6,hihi,-0.0314635730113414
130518,LH_Vis_6,hihi,0.164211326902362
132017,LH_Vis_6,hihi,0.106170170859265
141422,LH_Vis_6,hihi,0.0250963851973944
150423,LH_Vis_6,hihi,0.147893637947546
158136,LH_Vis_6,hihi,-0.0704035787326899
161832,LH_Vis_6,hihi,0.095361008101415
165032,LH_Vis_6,hihi,-0.0771516555149313
173738,LH_Vis_6,hihi,9.05673093652823e-05
176845,LH_Vis_6,hihi,0.146470363281698
178950,LH_Vis_6,hihi,-0.0616203947194267
182436,LH_Vis_6,hihi,-0.0132533265798306
203418,LH_Vis_6,hihi,0.0409372027068404
204319,LH_Vis_6,hihi,-0.0494309071815897
233326,LH_Vis_6,hihi,-0.0521381918038221
300618,LH_Vis_6,hihi,-0.0526486855002811
346945,LH_Vis_6,hihi,-0.0771631477474361
393550,LH_Vis_6,hihi,-0.0199163779079503
448347,LH_Vis_6,hihi,0.0571580727839787
580650,LH_Vis_6,hihi,-0.0252405129641368
594156,LH_Vis_6,hihi,0.0368461824309072
601127,LH_Vis_6,hihi,0.103333792393753
672756,LH_Vis_6,hihi,-0.0291275279824175
765864,LH_Vis_6,hihi,-0.0387082239794919
849971,LH_Vis_6,hihi,-0.011712620141508
877168,LH_Vis_6,hihi,-0.0106504848714089
DMCC0472647,LH_Vis_6,hihi,-0.0217499347981874
DMCC1328342,LH_Vis_6,hihi,-0.027909337297103
DMCC1624043,LH_Vis_6,hihi,0.0599267614995889
DMCC3963378,LH_Vis_6,hihi,-0.0506774069959729
DMCC4854984,LH_Vis_6,hihi,-0.0248420858887887
DMCC5065053,LH_Vis_6,hihi,-0.0330162901771286
DMCC5195268,LH_Vis_6,hihi,-0.0111534492129016
DMCC5244053,LH_Vis_6,hihi,0.131169083970278
DMCC5775387,LH_Vis_6,hihi,-0.0475864776151763
DMCC5820265,LH_Vis_6,hihi,-0.0235444582827533
DMCC6418065,LH_Vis_6,hihi,0.0857776171531537
DMCC6627478,LH_Vis_6,hihi,-0.0166548742893759
DMCC6671683,LH_Vis_6,hihi,-0.0468555833888734
DMCC6705371,LH_Vis_6,hihi,-0.068803596583379
DMCC7297690,LH_Vis_6,hihi,-0.0269826292667806
DMCC7921988,LH_Vis_6,hihi,-0.0225763843139291
DMCC8050964,LH_Vis_6,hihi,-0.0269986553373711
DMCC8078683,LH_Vis_6,hihi,0.100865962523019
DMCC8214059,LH_Vis_6,hihi,0.0309757726020293
DMCC8260571,LH_Vis_6,hihi,-0.015909281617957
DMCC9441378,LH_Vis_6,hihi,-0.0785744942864941
DMCC9478705,LH_Vis_6,hihi,-0.000222004818101078
DMCC9850294,LH_Vis_6,hihi,-0.0163408231754492
DMCC9953810,LH_Vis_6,hihi,0.0109457994166688
