subj,parcel,term,beta
DMCC8214059,LH_Vis_6,hihi,0.0600035456690942
DMCC8260571,LH_Vis_6,hihi,0.205204801181546
DMCC9441378,LH_Vis_6,hihi,0.603780009337873
DMCC9478705,LH_Vis_6,hihi,0.184599010771275
DMCC9850294,LH_Vis_6,hihi,-0.0386431364142841
DMCC9953810,LH_Vis_6,hihi,0.10648296096886
102008,LH_Vis_7,hihi,0.0550829516597079
107321,LH_Vis_7,hihi,0.00241063649820154
115825,LH_Vis_7,hihi,0.121361115541413
123117,LH_Vis_7,hihi,-0.0262959108226192
130114,LH_Vis_7,hihi,0.366096351331472
130518,LH_Vis_7,hihi,-0.25808364170792
132017,LH_Vis_7,hihi,0.110894820414625
141422,LH_Vis_7,hihi,0.0571798228601816
150423,LH_Vis_7,hihi,-0.0729495340395509
158136,LH_Vis_7,hihi,0.194928081777809
161832,LH_Vis_7,hihi,-0.0104940668379291
165032,LH_Vis_7,hihi,0.076426118145628
173738,LH_Vis_7,hihi,0.0291172603317548
176845,LH_Vis_7,hihi,0.144285219554402
178950,LH_Vis_7,hihi,0.0468882250132993
182436,LH_Vis_7,hihi,0.0890611558323894
203418,LH_Vis_7,hihi,0.0568515256275386
204319,LH_Vis_7,hihi,-0.0856208034150915
233326,LH_Vis_7,hihi,-0.0121462759092047
300618,LH_Vis_7,hihi,-0.0488256268788757
346945,LH_Vis_7,hihi,0.0173203325949159
393550,LH_Vis_7,hihi,0.189040180130122
448347,LH_Vis_7,hihi,-0.102237341370068
580650,LH_Vis_7,hihi,-0.0222482055652222
594156,LH_Vis_7,hihi,0.1199905781085
601127,LH_Vis_7,hihi,0.154039736051653
672756,LH_Vis_7,hihi,0.149276958303697
765864,LH_Vis_7,hihi,-0.0202424664317208
849971,LH_Vis_7,hihi,0.238214875201218
877168,LH_Vis_7,hihi,0.0284772151038107
DMCC0472647,LH_Vis_7,hihi,-0.0916368553676614
DMCC1328342,LH_Vis_7,hihi,0.061883984187023
DMCC1624043,LH_Vis_7,hihi,0.29568857467464
DMCC3963378,LH_Vis_7,hihi,0.418774820202099
DMCC4854984,LH_Vis_7,hihi,-0.0594051963097719
DMCC5065053,LH_Vis_7,hihi,0.0225943049070326
DMCC5195268,LH_Vis_7,hihi,-0.00738402799536332
DMCC5244053,LH_Vis_7,hihi,0.148873277951952
DMCC5775387,LH_Vis_7,hihi,0.406597357874118
DMCC5820265,LH_Vis_7,hihi,0.272896233314172
DMCC6418065,LH_Vis_7,hihi,-0.0146695842785738
DMCC6627478,LH_Vis_7,hihi,0.23252329873627
DMCC6671683,LH_Vis_7,hihi,0.291932415428963
DMCC6705371,LH_Vis_7,hihi,0.218321384482609
DMCC7297690,LH_Vis_7,hihi,0.0508810490677109
DMCC7921988,LH_Vis_7,hihi,0.17047240001837
DMCC8050964,LH_Vis_7,hihi,0.0623763898427382
DMCC8078683,LH_Vis_7,hihi,0.307686483447022
DMCC8214059,LH_Vis_7,hihi,0.0589750142763574
DMCC8260571,LH_Vis_7,hihi,0.0313428527091525
DMCC9441378,LH_Vis_7,hihi,-0.0193448126760836
DMCC9478705,LH_Vis_7,hihi,0.223398533550815
DMCC9850294,LH_Vis_7,hihi,-0.0226338527280325
DMCC9953810,LH_Vis_7,hihi,-0.0205379097574336
102008,LH_Vis_8,hihi,0.362446527240159
107321,LH_Vis_8,hihi,0.520696896135244
115825,LH_Vis_8,hihi,0.090574955811023
123117,LH_Vis_8,hihi,0.126992449048827
130114,LH_Vis_8,hihi,-0.00845599167345967
130518,LH_Vis_8,hihi,0.0192468921030519
132017,LH_Vis_8,hihi,0.244178950182907
141422,LH_Vis_8,hihi,0.0481163450791945
150423,LH_Vis_8,hihi,0.597441818734465
158136,LH_Vis_8,hihi,0.22862638738339
161832,LH_Vis_8,hihi,0.569172284661403
165032,LH_Vis_8,hihi,-0.0176419226738578
173738,LH_Vis_8,hihi,0.250590041928773
176845,LH_Vis_8,hihi,0.547395297919113
178950,LH_Vis_8,hihi,0.0328813826064386
182436,LH_Vis_8,hihi,-0.103283755912108
203418,LH_Vis_8,hihi,0.224452794083996
204319,LH_Vis_8,hihi,0.0665259537449802
233326,LH_Vis_8,hihi,-0.143428242001973
300618,LH_Vis_8,hihi,0.268695034693907
346945,LH_Vis_8,hihi,0.667576361771543
393550,LH_Vis_8,hihi,0.0273885875459421
448347,LH_Vis_8,hihi,0.200359750253037
580650,LH_Vis_8,hihi,-0.129562598231771
594156,LH_Vis_8,hihi,0.0929240475108095
601127,LH_Vis_8,hihi,0.132327521351781
672756,LH_Vis_8,hihi,0.25534654914039
765864,LH_Vis_8,hihi,0.458846965368344
849971,LH_Vis_8,hihi,0.0148109640343189
877168,LH_Vis_8,hihi,0.347135910881927
DMCC0472647,LH_Vis_8,hihi,0.174658918728095
DMCC1328342,LH_Vis_8,hihi,0.362151322899723
DMCC1624043,LH_Vis_8,hihi,0.343581350865289
DMCC3963378,LH_Vis_8,hihi,0.104586107852781
DMCC4854984,LH_Vis_8,hihi,0.0304914301784685
DMCC5065053,LH_Vis_8,hihi,0.60538446410258
DMCC5195268,LH_Vis_8,hihi,0.276477881538305
DMCC5244053,LH_Vis_8,hihi,-0.00775024073686249
DMCC5775387,LH_Vis_8,hihi,0.114371984365914
DMCC5820265,LH_Vis_8,hihi,0.446114568723768
DMCC6418065,LH_Vis_8,hihi,0.249209967274681
DMCC6627478,LH_Vis_8,hihi,0.0359533990372806
DMCC6671683,LH_Vis_8,hihi,-0.0678909925158856
DMCC6705371,LH_Vis_8,hihi,0.185512150819675
DMCC7297690,LH_Vis_8,hihi,0.18979774931811
DMCC7921988,LH_Vis_8,hihi,0.0109894208817887
DMCC8050964,LH_Vis_8,hihi,0.574558668641124
DMCC8078683,LH_Vis_8,hihi,0.206034983132773
DMCC8214059,LH_Vis_8,hihi,0.221908144919867
DMCC8260571,LH_Vis_8,hihi,0.075020247217881
DMCC9441378,LH_Vis_8,hihi,0.113205706033152
DMCC9478705,LH_Vis_8,hihi,0.588477887800184
DMCC9850294,LH_Vis_8,hihi,0.274272348895041
DMCC9953810,LH_Vis_8,hihi,0.449994624321712
102008,LH_Vis_9,hihi,0.138982701960132
107321,LH_Vis_9,hihi,0.220760288774805
115825,LH_Vis_9,hihi,0.51706043990517
123117,LH_Vis_9,hihi,-0.0824907792035417
130114,LH_Vis_9,hihi,-0.00678362085028776
130518,LH_Vis_9,hihi,0.104874279877953
132017,LH_Vis_9,hihi,0.908080798499686
141422,LH_Vis_9,hihi,0.044400547382379
150423,LH_Vis_9,hihi,0.0897604906337773
158136,LH_Vis_9,hihi,0.333782672103508
161832,LH_Vis_9,hihi,0.483281405975148
165032,LH_Vis_9,hihi,0.0580926744491921
173738,LH_Vis_9,hihi,0.240925778632751
