parcel,estimate,se,df,statistic,p.value,term,p.fdr,hemi,num.roi
LH_SomMot_24,0.016878326388889,0.014533307953161,809.000183443083,1.16135476130319,0.245840198708629,hiloInCon,0.39812177928523,L,55
LH_SomMot_25,0.0211449444444445,0.0156207047096813,809.000000129516,1.35364856051209,0.176226583885358,hiloInCon,0.318962142778928,L,56
LH_SomMot_26,0.0320442638888892,0.0196699251899203,809.000154387552,1.62909942867043,0.10368127170847,hiloInCon,0.224175722612907,L,57
LH_SomMot_27,0.0182572893518518,0.0124445762178289,809.000021704009,1.4670880737341,0.142740722269709,hiloInCon,0.274501388980209,L,58
LH_SomMot_28,0.0316342962962964,0.0188299231174743,809.000148660565,1.68000135204692,0.0933431246821337,hiloInCon,0.20532881656529,L,59
LH_SomMot_29,0.0139403888888888,0.0139455672413435,809.000187066814,0.999628673945993,0.317789136299102,hiloInCon,0.46552935523725,L,60
LH_SomMot_30,0.0255668981481481,0.0135060045883237,809.000161116186,1.89300232951581,0.0587142324840137,hiloInCon,0.157622100628225,L,61
LH_SomMot_31,0.0225340046296297,0.0154443833919731,809.000157309888,1.45904203863142,0.144941684543268,hiloInCon,0.276888942277233,L,62
LH_SomMot_32,0.00857290972222224,0.0124588298527878,809.000181185489,0.68809910910726,0.491587618876311,hiloInCon,0.631157600842469,L,63
LH_SomMot_33,0.000960539351851828,0.0148270642748334,809.000002874512,0.0647828412993525,0.948362907522773,hiloInCon,0.96641741110243,L,64
LH_SomMot_34,0.0249034097222222,0.0109409819165162,809.000161570697,2.27615856714182,0.0230970701799336,hiloInCon,0.0855487143933465,L,65
LH_SomMot_35,0.0122729537037038,0.0153856967859407,809.000179621805,0.797685920530988,0.42528684478145,hiloInCon,0.567049126375266,L,66
LH_SomMot_36,0.0152025486111111,0.012490070403007,809.000002916629,1.2171707701064,0.22389418414037,hiloInCon,0.373156973567283,L,67
